material,supplier,block_name,kg_co2e_per_unit,unit,source,valid_from
steel,AcmeSteel,raw_production,1.50,kg,supplier-reported,2025-01-01
steel,AcmeSteel,processing,0.30,kg,supplier-reported,2025-01-01
steel,AcmeSteel,coating,0.05,kg,supplier-reported,2025-01-01
steel,,raw_production,1.65,kg,industry-default,2024-01-01
steel,,processing,0.35,kg,industry-default,2024-01-01
steel,,coating,0.10,kg,industry-default,2024-01-01
aluminum,AlphaAl,mining,0.80,kg,supplier-reported,2025-06-01
aluminum,AlphaAl,smelting,6.50,kg,supplier-reported,2025-06-01
aluminum,AlphaAl,rolling,0.90,kg,supplier-reported,2025-06-01
aluminum,,mining,1.20,kg,industry-default,2024-01-01
aluminum,,smelting,9.00,kg,industry-default,2024-01-01
aluminum,,rolling,1.30,kg,industry-default,2024-01-01
copper,GlobalWire,extraction,2.80,kg,supplier-reported,2025-03-01
copper,GlobalWire,refining,0.60,kg,supplier-reported,2025-03-01
copper,,extraction,3.80,kg,industry-default,2024-01-01
copper,,refining,0.80,kg,industry-default,2024-01-01
plastic,,polymerization,2.30,kg,industry-default,2024-01-01
plastic,,molding,0.50,kg,industry-default,2024-01-01
paint,,production,4.50,kg,industry-default,2024-01-01
